Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Promotion_Gap_Ratio,Role_Stagnation_Index,Training_Intensity_Score,Manager_Stability_Indicator,Career_Growth_Rate,Promotion_Gap_Score,Cluster,Cluster_Label,Cluster_Hierarchical,PCA1,PCA2
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,0.0,0.6666666666666666,0.0,0.8333333333333334,0.25,Medium,1,🟠 Promotion-Stalled,0,0.4461918303175348,-2.049194109971589
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0.1,0.7,0.3,0.7,0.2,Medium,1,🟠 Promotion-Stalled,0,0.5472972742343019,-0.7685044922269917
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0,3.0,0.0,0.1428571428571428,Low,0,🚀 Fast-Track Performers,1,-3.130616487322925,0.5224895951109852
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0.375,0.875,0.375,0.0,0.125,Medium,1,🟠 Promotion-Stalled,0,0.4785897084124735,0.1727434414673356
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,1.0,1.0,1.5,1.0,0.1666666666666666,High,1,🟠 Promotion-Stalled,0,0.8666349189210067,-0.4402776951786107
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0.4285714285714285,1.0,0.2857142857142857,0.8571428571428571,0.125,Medium,1,🟠 Promotion-Stalled,0,1.6011550656226194,-1.1447459561735676
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.0,0.0,3.0,0.0,0.0833333333333333,Low,0,🚀 Fast-Track Performers,1,-3.0765604034882594,0.4296020182229434
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0.0,0.0,2.0,0.0,1.0,Low,0,🚀 Fast-Track Performers,1,-3.9503706750455834,0.37350790276268003
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.3,Medium,1,🟠 Promotion-Stalled,0,1.009923343610039,-0.9066845577683527
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,1.0,1.0,0.4285714285714285,1.0,0.1176470588235294,High,1,🟠 Promotion-Stalled,0,2.7516456314671123,0.5620699347627153
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0.0,0.8,1.0,0.6,0.1666666666666666,Medium,1,🟠 Promotion-Stalled,0,-0.5326915114865307,-0.5776745864984302
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,0.2,Medium,1,🟠 Promotion-Stalled,0,0.18684974026599646,-1.0399295522047667
